label	text_a
1	各位同仁：重组新冠病毒疫苗（腺病毒载体）Ⅰ期临床研究现已正式开始，请积极组织辖区内18-60岁无新冠肺炎病史的健康志愿者积极报名参加，请直接登录“新冠疫苗临床研究预约登记和健康主动申报系统”进行预约登记。之后我们将安排志愿者体检，合格者将入选，志愿者将集中在东湖武汉特...
1	广大市民朋友：如你在接受新冠肺炎核酸检测后24小时内未接到疫情防控单位复核通知，视为核酸检测结果为阴性。【成都市郫都区新冠肺炎疫情防控指挥部】
0	疫情的确是美国人造成的呀
0	疫情期间，从张文宏医生、王辰院士处得到诸多理性信息，感谢！
1	我们这里连续新增0持续几天后，大家都放松了，然后昨天又出了新增1例。真的希望大家除了要复工的人，其他人尽量不要出门，出门做好防护措施，不要侥幸心理。
1	疫情还未结束，希望大家不要掉以轻心，认真做好自身防护
1	她抗体都阳性了，说明得过但是自愈了，为什么家人没被感染，这个传染就是谁抵抗力低谁容易被感染啊，同样感染还有无症状呢，难道要找病毒说理？80多的邻居，你猜他的抵抗力？？还有那个时候大家都要集中隔离14+居家隔离14，一共28天，为啥她只隔离几天就回家了？咋算也没有28天吧。评论全是洗地
1	一般是下飞机检一次，隔离结束前检一次，如果飞机上感染大概率检不出，隔离结束前她已经康复了。
0	我刚看到微信有一篇公众号推文说，新冠病毒就是美国研发的生物武器…然后什么暗*政府之类的…
0	张医生在疫情最严重的时候也是用最通俗的语言让我们知道了自己该干什么！领奖你也当之无愧
0	源头真的是韩某吗 为什么同吃同住的家人都没感染反而是楼下的曹某感染了 难不成韩某家人自带抗体？
0	节目组是先联系疫情严重的国家。。田原皓大左直播问过近况。。
0	就是怕遇到郭某鹏这样的人，隐瞒。从郑州回来居家隔离瞒报之类的，而且也不知道是不是集中隔离。现在又开始取消卡点了，就有点担心。
0	看看中国，14亿人，0本土；再看看隔壁，13.5亿人，爆雷了。
0	#身边的战疫##我们差社工一个赞#一图了解#新冠肺炎世界疫情形势#
0	她为啥让人怀疑，因为她太神秘了，什么都合理，怀疑她是源头还不公布轨迹，报的隔离都合法，但还怀疑她，千呼万唤才报出来的轨迹还去过上海，这么久才让上海知道，她到底是不是，请给个准话
0	韩国的流感还是自己国家拍的，希望大家早日战胜疫情
0	#抗击新冠疫情表彰大会#【#世卫称中国成功控制疫情值得庆贺#：#世卫称每个中国人都展现了强烈责任感#】
0	快去写美国日记呀@方方
1	我家一个从英国回来还在隔离中，如何做无症状筛查啊?
1	你们再说 懂王明天自己研制你信不信 懂王说了没有人比他更懂疫苗
1	身处疫区屯药无可厚非 但不是疫区做好防护就可以了。疫区医疗资源被挤兑才是最严重的问题，非疫区屯药确实看不到必要性。
1	我们这儿也一例没有，但大家都戴口罩，小区消毒，工资的地方也要消毒。严防死守
1	我学中医的，你要是中医黑也先别喷我了，就事论事，这人说的话我一个学生都不可能认同，不用做什么解释了，也不用拿乱七八糟的胡话故意抹黑，只能说任何正经的中医医师都不可能说什么晒太阳和生姜水就能治好肺炎。明明中西医结合治疗肺炎的方案国家都公布出来了，那个不看，何必拿这些话来黑
1	笑死了，全国只有大学在抗疫哈哈哈哈哈，连门卫都不戴口罩，却说外面危险哦~~~针不戳呢！哈哈哈哈哈哈哈，来吧，疯闭个5年8年的，反正**也没把学生当人
0	终于有朝鲜的消息了！自从疫情开始后他们仿佛隐形了一般，看起来政府很重视控制的还不错，这时候又要喊声社会主义大法好了！不过，看他们对内也这么严阵以待，感觉不太像是零感染的样子
1	中南民族大学还在封校，反正我是无语了
1	疫情防控不可放松啊，首府挺住！！！
1	【为消除民众疑虑 韩总统#文在寅将公开接种阿斯利康疫苗#】
1	钟院士的意思是，应尽快接种疫苗，未来国门肯定是要开放，这段间隙期其实正是提升疫苗接种率的关键时期。
0	#抗击新冠疫情表彰大会#在那段看不到光的日子里，感谢你们的付出与坚守，感谢你们不畏艰难逆行而上，谢谢你们拼命坚持！感谢每一位平凡的你们做了不平凡的举动，因为你们的日夜兼程我们终于看到了胜利曙光！同时也铭记那些在战疫中牺牲的平凡英雄，向你们致敬！@央视新闻 @人民网
0	呃…方方写的什么日记阿，内容没看，就算她在武汉，封城期间又不能出去，她也不是医护工作者，能写啥，道听途说吗
0	信息不对称，老百姓们得不到公开透明的信息，对所有的防疫措施都抱有敌意。悲哀呀！
1	#中国向韩国出口两座火神山医院#
1	解封是为了复工复产，不是为了走亲访友，不是放松了防控，而是要做到疫情防控与经济发展两不误，切记少出门，戴口罩，勤洗手，不聚餐，不聚集。坚持就是胜利，不要让无数人的努力功亏一篑！
0	都在乌鲁木齐一个在医学院一个在23医院
0	大流行（Pandemie），反国际化，反旅游，反社会，反人类。中国控制得好，目前连流行病都算不上（Epidemie）
0	因为为了中第三次五百万，每次都巨额下注
0	一个疫情死了55万，衰退开始
1	鼻拭子??采集分泌物检测核酸的
1	您可能遗漏看我们报道了，巴育年龄超60岁不能接种中国疫苗，所以改接种阿斯利康疫苗了。
1	要求18-60周岁健康人士，没有新冠感染史，没有疫苗接种过敏史。
1	疫情仍未结束，防控工作仍需重视，小心驶得万年船啊。
0	#新疆确诊2例新型肺炎病例# 希望家人平安
1	大过年的，一共能在家呆三天，三十放假，初七上班，为什么不二十九放假，还要隔离十四天，回不回来上班了，好，你肯定会说那就别回去啊，艹
0	这医生数学不好吧，三四个月，四五个月我们明明只用了两个多月，现在最严重的武汉都已经马上解封了，要不是一直有境外输入，国内早就完事了，美国这些人真是造谣光凭一张嘴
0	可能是给汽车打广告
0	中国在在没有经验没有物资对病毒一无所知下控制住疫情 实属罕见
0	得了吧，吃蝙蝠都忘了吗？舆论向mg引也是厉害了
