label	text_a
0	他终于可以开始在自己梦想道路上迈下一个一个足迹，他最大的梦想就是在东京拿一块梦寐以求的金牌，这块东西对他来说太重要了，因为，它代表了太多太多，对于命运的不公平让他没能在十米台大放异彩，却凭借自己的努力，血汗，诠释这他不服输的精神，奥运金牌给他当之无愧
0	日本民众不支持举办
0	#东京2020奥运会火炬# 实话实说，这个火炬非常漂亮
1	日本奥运会延期2030年
1	2021年看东京2020年奥运会
1	请问：东京2020奥运会在哪一年举办？ A.2020  B.2021  C.2022  D.2024
1	奥运会延期已成定局，经济损失不可避免，生命安全最重要！
0	这个国家现在还惦记奥运，要钱不要命真让人反感
0	好可爱  去不成东京看奥运会，中奖拿到纪念品也不错
0	为啥有的男的舔日本那么起劲啊
0	我参与了@微博篮球 发起的投票【你希望在明年东京奥运会到哪位NBA巨星？】，我投给了“伦纳德”这个选项，你也快来表态吧~
0	绝大部分观众都是在屏幕前，所以没什么，对于大众来说就是娱乐，反倒是对于以此为职业的运动员，奋斗了那么久，取消比没有观众更难以接受
0	东京奥运会太惨了，运气不好
1	日本拟定奥运会防疫方案，奥运会外国运动员进入赛场需要连过五关。
1	东京奥运会是史上最烂的一届，疫情因素不是最主要的，主要是这个名族的弱势
1	光明会卡牌也预言东京奥运会开幕式当晚会发生灾难
0	#澳大利亚退出今夏东京奥运会##澳大利亚将禁止民众出国##老孟说事#
1	塔伊萨准备 东京、巴黎奥运会 继续教希拉妹妹做人
1	有困难就向中国求助吧，奥运会呀！
1	希望奥运会的时候疫苗已经控制住疫情了
0	#东京奥运会圣火传递途中意外熄灭# 啥也不说，算是眼泪
1	为啥柯南剧场版出现了奥运会，奥运会就推迟了，还记得维修的大笨钟，维修的清水阁，吹倒的渡月桥，拆除的鱼尾狮和爆炸的双子塔吗(ー_ー)!!
0	现在的情况是停办日本会血亏，办了至少还能少亏损点儿。
0	我知道 他们不愿意看日本人的脸色
1	#全球疫情# #日本疫情# 据日本NHK报道，安倍晋三已经有所松口。如果2020东奥无法以“完整的形式”召开，将会考虑延期举办。  ​​​
0	澳大利亚奥委会：今年夏天“无法集结”参与奥运会
0	奥运圣火一般不都是在雅典取火的吗？现在只能在日本取火了。看来真的简化了很多
0	日本回收旧手机是为了提炼金属制作奖牌，实际上是亏欠钱的，环保要做到最小的投入获得最大的收益才是持久之道。
0	日本不愧是平面艺术最领先的东方国家
1	81年前发动侵华战争所以在日本举办的奥运会取消，日本731在中国进行惨无人道实验。81年后继承731所有的德特里克堡生物实验室的新冠让日本的奥运会延期。不错不错，天道轮回
0	东京奥运会能不能顺利举行关键看4，5，6月疫情能不能全部消停，没有在增加病例和疑似病例，这个是关键，欧洲更关键，非洲更要多防护，不可掉以轻心
1	运动员为备战奥运付出了多少，这是他们日夜盼望的梦想，所以不能直接取消；日本也为奥运的举办投入了大量人力物力，也不能换另一个城市举办，这太伤人心了；不设观众席的奥运也差了点意思。奥运四年举办一次，之间间隔期比较长，可以延期举办的，应该会没多大影响。我相信我们中国和世界的疫情都会过去
0	hhhhh东京奥运非官方吉祥物
1	历史性的时刻   奥运会在奇数年里举办
0	日本人的伦理观和国际常识就是乆乆乆，只在中国的二鬼子间行得通
1	#东京奥运会明年7月23日开幕# 希望疫情早日结束！
1	照常举办呗，然后全部只有日本本国运动员参加，就可以拿到史无前例的奥运冠军大满冠了
0	连圣火都不给小日本面子
1	冷门小知识，2020年东京奥运会是在2021年举办的
1	#东京奥运会推迟# 目前最好的期待就是，2021年能如期举办“东京2020奥运会”
1	推迟2021年办也行，规矩是人定的，我还是很想看东京的奥运会的～
1	希望全世界早点脱离疫情，我们2021奥运见💪#延期后奥运名称保留东京2020奥运会#
1	见证历史-0-有史以来第一届推迟的奥运会
1	没事，明年还是2020。#延期后奥运名称保留东京2020奥运会#
1	以后的历史书会不会有这种题，是哪一年哪一个国家延期了奥运会
0	然而日本的奥委会主席表示：坚决拒绝中产疫苗！并指控国际奥委会为啥不跟日本商量就直接出台政策！
0	加拿大：我退出的是2020夏季举办的奥运会哦，如果不是夏季举办，那就...
1	【澳大利亚奥委会官员：东京奥运会无法按期举行 请为2021年奥运会做准备】澳大利亚奥委会(AOC)表示，鉴于国内外（疫情）不断变化的情势，澳大利亚团队今年夏天“无法集结”参与奥运会，会为2021年准备。
1	#中国女篮进军东京奥运会# 这就是赢球的快乐啊，一分一分拼出来的
1	2021年举办东京2020年奥运会 见证历史
1	#国际奥委会全力支持东京奥运会举办# 还有差不多半年的时间，国际奥委会重视起来，一起和日本政府来推荐奥运会的筹备，加上日本当年对疫情开始重视起来。目前日本🇯🇵的感染人数相对晚一些爆发疫情的韩国要控制的好很多。#东京奥运允许被推迟至年底举行# ，据了解十一月初的日本天气还是很不错的。
0	圣火都多次提醒你了  圣火表示不想被传递   要不奥运再考虑考虑？
0	取缔了东京奥运会吧
0	奥运能证明啥呀，老詹都快退役了，我是想看美国再来一次复仇者联盟
1	奥运会即将到来，然而日本的病毒不知道控制住了没有，祝愿。 O网页链接
0	#东京奥运会圣火传递现场#
0	取消一届吧 别为了它把明年赛事都耽误了
0	奥运会火炬意外熄灭是非常常见的，北京奥运会的火炬在传递过程中也经历了多次不明原因熄火，但是奥运会火炬传递一般在主火炬边上都有副火种跟随，意外熄灭了再点燃就是
1	个人也建议明年再办，日本的声望不会有影响，而且日本也重写了历史！奥运精神是什么？是人吧！无论如何，相信日本政府一定会交出一份满意的答卷 united by emotion！加油！
0	。。奥运会又不是四周内就要开
1	病毒可以战胜。但是奥运会。可以推迟
1	#2020东京奥运会# 祝早日康复赶上奥运会 #俄罗斯被禁止参加东京奥运会#
1	日本的奥运村都是签了合同要卖的，不知道具体合同有没有规定这种情况。觉得改成2021年的可能性更大
0	我觉得这是对外国观众的保护啊 日本的疫情也挺严重的呢
0	中国在忙着报道日本乌鸦走台步和奥运会传递火炬#当乌鸦走起台步##石原里美助阵圣火传递##东京奥运会圣火传递现场# //@無限堂有紀:茂木都这么讲了这边怎么都不给报道呢w外务大臣就是外务部长啊，传达的就是日本内阁的意思，等于日本政府的声音啊
