label	text_a
1	【#外交部回应美国再次升级对华为禁令#：#美方戳破了自己公平竞争原则的遮羞布#】??遮羞布早就遮不住美国的无耻了，他们就是世界流氓，哪里有美好与和平，美国就祸害哪里。#美方越打压越证明华为等中国企业的成功#
1	从此以后，只要同类产品之中有华为的，坚决选择华为替代，毕竟代表中国在正面战场与美帝血战的只剩他孤单一人，作为有些一颗爱国心的中国人在他危急关头，你不去送弹药谁去？？？
0	反制关税怎么不加？咱能不能硬气点。别说那么多客套话了，直接加税！
1	华为芯片限制要解禁的前兆？
1	IMF首席经济学家Gopinath和几位合作者研究了中美贸易战对美国进出口价格的影响，结论是美国才是真正输家：新增关税基本上完全由美国进口商支付；相反美国出口商对于中国反制的产品不得不降价应对关税上升。问题是，如果美国才是贸易战输家，中国为什么在第一阶段谈判中成为主要让步方呢？因为进出口对
0	@天津市人民检察院 #150秒回顾中美高层战略对话焦点#
1	特朗普发个推特威胁加关税，土耳其经济就面临重大困难，老百姓生活收到大影响。而特朗普对我们是真加关税，而且大范围加，反而我们生活没什么大影响，不经要问了，为什么？同时为什么那些国内的人胳膊肘还要往外拐？
0	总感觉哪里有问题，稀土虽叫稀土其实并不稀少。按照当时探明的就够全世界使用几百年。另外稀土开采对环境污染很大，控制产量的话，对稀土企业应该是利差，为何股价会蹭蹭上升呢？
0	拜登以小人之心度君子之腹
0	当然打击了中国！CHINA！
0	现在巴西的大豆已经超过了美国，后面还有南非、俄罗斯、乌克兰都等着向中国出口
0	这说明美国想要在我们周边动手，同时危害中国的石油供应，造成中国不安全的印象。这是一种金融 贸易 军事的全方位打压。中国未来会很难受。但万事有利有弊。全球化这么多年 国内很多弊端也亟待解决，人家强迫我们脱钩，那我们也不用顾及了。现在死神站在我们这边，美国动手越晚，说明它遭受的伤害越大
1	美国用花样繁多的招术来制裁中国，未来几十年，希望中国有足够多的智慧去应对。
0	美国如此欺压一个民营企业，不断的使用卑劣手段，期待国家的反制措施能够尽快出台
0	特朗普觉得我们没有再可利用价值了，脱钩吧各走各的路。
1	把特朗普当商人看待就很容易理解了。进口车而言，中国征税远高于美国，然而中国是发展中国家，和发达国家税率对等是最大的不平等。特朗普不行，你不降税，我就增税，双方得税率一致。但只瞄准中国，不足以让美国强大，于是全球开打。使得在美外贸易中，保持关税“有利”地位。所以美税大概率不会再降。
1	#中美高层战略对话在阿拉斯加举行# 【中美第一场会谈超时 美方无同传猛记笔记】#中美会谈现场美方猛记笔记传纸条# #中美高层战略对话#
0	对于经济，特别是产业上的脱钩，我毫不担心，但科技特别是高科技领域的两套标准两套体系还是需要注意的，最令人担忧的是舆论场的脱钩，这几乎已经是现实了，舆论信息场的人为脱钩容易导致双方对对方的误判，这是最令人担心的。
1	中国就得到了点本来就不应该加的关税这么点东西吗？怎么看像全面让步呢！
0	中国现阶段真的肩负着改写历史的使命，希望能够尽快解决现阶段的贸易战
1	美国这么坏怎么朋友这么多而且都是有钱的，百思不得其解。拜登这是准备拉群架的态势啊，难道拜登拉帮结派遏制中国的策略成功啦？？一句话价值很观下的利益、硬是受价值观控制的。欧美一家，不要抱任何幻想。～拜登上任欧盟就扑了～
0	6、“共同推进以协调、合作、稳定为基调的美中关系”。这是用了与中国元首相同的6个字，对美中关系定调。 7、“我重视中方在台湾问题上的关切，美方继续奉行一个中国政策”。这就打破了美国鹰派在台湾问题上立场倒退，走回头路，使中美关系破裂的企图，使美国在后续贸易谈判中打“台湾牌”。
1	建议美国还是开放华为5G，资讯获取速度也落后得恐怖
0	你专业课 我选修课本来看中有趣的三个字选的，结果一点都不有趣
1	【胡侃：理据不足】后发制人澎博“30亿小刀，对抗600亿手枪”；欧盟“立刻”怒怼参众领袖辖区行业【蛇七寸】，特总统必然“取消”制裁。你反应【迟钝/“十二分冷静”】，当然特总统捡你这“软柿子”吃，【气势不如人】。中国专家学者“旧瓶或难装新酒，中政府或许该思考思考”！
0	中美关系是世界上最重要的外交关系之一，状况的好坏对世界和平稳定的影响十分巨大
1	美国方案，布局全面围攻打压中国。从金融战，科技战，贸易战，舆论战，到产业链战争，被动挨打，不如主动出击，我们要做好应对措施，出其不意，攻其不备，瓦解美帝霸权和险恶图谋。
1	杨光斌啊，你不去中兴通讯当总裁真是亏材料了。因为你不在，中兴通讯被打的当场休克缴械投降，唉～
0	#中美高层战略对话中方立场# ，#任何人不能剥夺中国人民追求美好生活的权利#。#这就是中国态度#！?????????
0	一次会谈不可能解决所有分歧，正如王国委所言，对话总比对抗好，减少分歧增加互信就是进步。两位大大辛苦了，好好美餐一顿吧，别再吃泡面了！
1	美国政府赢了，进口增加关税增加8%，老百姓亏了！看从什么角度去看，
0	这场对话国际舆论基本上都认为中方得分了！崔大使怎么认为？另外，这次沟通对以后的中美关系有什么影响？
1	这事吧，你说中兴做的很好让美国挑不到一点刺也不尽然，说美国故意整我们吧也确实是这样，关键是我们自己的实力如何让美国无法整我们，如何让他们也受伤，这样大家就进入不冲突不对抗的新型大国关系。其实美国一直就在贸易方面整我们，只不过以前没那么多人关注罢了。
1	不好好搞好疫情，却是反而制裁中国高科技，那真是把他们国民不当一回事
1	今年全世界都遭遇这么大的疫情，曾经有奢望过美帝取消一些关税来促进世界经济的，这么来看不能做指望了
0	脱钩？不存在的！江家李家曾家都不会同意的！
1	别说惠台办了，就算不惠台，台湾的芯片你还是得买，根本拦不住，这是科技的胜利
0	到6月，已经抛了1000多亿
0	中美双方不是贸易的逆差，而是认知的逆差。中美民众应该多交流，让美国民众更加了解中国，中国人不是像他们想的那样，让他们打消这个观念。
0	吃饭的心还是有的//@江洋浩荡:#美国将中国医药品从关税清单中去除# 美国没有特效药，而中国中医全面介入，治愈率很高。所以看出，美国人很务实。就看实际效果，不讲虚的！@中医杨桢 @无生-心理师 @中国新闻网
1	对话现场，美方超时，又国力恐吓，这不平等没诚意的一幕，在清政府李鸿章对外谈判，国民政府顾维钧对外谈判都出现过类似的，但是滚滚长江东逝水时代究竟是变了，杨主任不是李鸿章了。
1	美国先提高关税，然后再减去提供的一半部分，到头来，还是提高了。就像双十一卖货一样，把价格提高，再来一个打折。刘鹤表情很严肃哦。庶民不懂政治的那套把戏，只是希望我们国家不要被耍
1	一个红脸一个黑脸。姆努钦/罗斯负责谈判。谈不成蓬佩奥指挥穆迪菜菜子出来打
0	中美关系不能义气用事
1	这话用英文讲给美国人听，中国是想和和气气做生意，美国不肯啊，贸易战，技术封锁都是美国主动挑起
1	这样开发商、地方政府和银行利益一致，利用这个机制、渠道把老百姓的几代的钱都洗劫空了，而且把房价推得畸形的高，严重影响了各地发展、企业创新和中央政府执政，同时带来巨大的风险隐患。地方政府债务高举，美国减税中国政府不敢应战，在贸易战过程中可能引爆债务或者资金出逃。
0	喷子之所以是喷子，是因为他认知有限、思想狭隘，刘欣的高度他们理解不了。看完央视关于这场“约辩”的分析，才感央媒记者真材实料刘欣女神
1	美国好像不看好结果，特朗普昨天刚对中国44亿美元家具加征关税，国内都没报道
1	疫情之前国内就不再进口老美的海鲜了，老美打贸易战把关税提的太高现在大部分都是进口加拿大的海鲜
1	不靠普就是看到中国不想打贸易战，才一而再再而三的搞事，真正打起来谁都讨不到好，损敌一千，自损八百，中国地产泡沫，美国想通过贸易战上升到制造金融危机，让中国像当年的日本一样房价内闪崩，失业人数增多，而老百姓大部分加杆杠买房的，让你辛苦买的房子变成不是你的，都欠着债。
1	会谈之前美国又是制裁又是威胁搞事情，再次证明了美国就是搅屎棍本棍！
0	就算是真的，难道不行吗？适当制裁一下美狗也有错？
1	看看孟晚舟脚上的电子脚镣//@瘌痢头小明:支持！美国给过华为理由吗！
1	既然是谈判，双方都要有起码的诚意。美国主动要与我们会谈，更应该有最基本的姿态。谈判前，美国国务卿在日本对中国大放厥词，按说，我方应宣布无限期推迟谈判。比如两个老百姓，昨天張三在其它的场合大骂李四，明天，李四还能颠颠地跑去跟张三谈合作么？
1	拜登上台后会取消对华为的禁令吗
0	伊朗都打你军事基地了，还要无条件和谈呢！别吹牛了，中美关系！能玩到哪一步自己心里没有点数吗？你们尊敬的总统今天前半年没有搞我们，下半年就没时间了！能不能连任还是一回事呢！
0	我们不是贸易战最大赢家吗？
1	特朗普：30亿；中国：我跟。??　　特朗普：500亿；中国：我跟。??　　特朗普：再加1000亿；中国：我跟。??　　特朗普马仔：老大，咱只有1500亿，全押上了？??　　特朗普：全押上！！！
0	美方发言核心是：1，要基于规则而不是基于强权建立秩序；2，瓷器国对国内某些地区的压制是不对的。然后中方开始发飙，说明明是你们请我们来的 ，结果在会议前一天还制裁我们一批人是不遵守外交礼节，你们没资格插手我们内政云云
1	被美国制裁的十大学校才是国内顶尖十大
1	美国增加关税，国内给出口型企业减增值税行不行？
1	美国迷之操作：1.本该高层次机密的战略级会谈搞得人尽皆知 2，本来该谈战略性的对话(要钱啊，乌克兰，香港台湾，，)结果只是指责？要是指责不会面也可以做到 3.会前动作频频，还以为为会谈吹风，结果，。4.猜想：觉得美国内部分歧更大，一和一战，
0	那么多人在场，那么多镜头下都表现得像个变态，私下不知道玩多大了
1	之前华为向美捐赠时就说，美国肯定不会心软，肯定很快会继续打压华为和中国，又不幸言中！一再说国家就该暂停向美出口稀土和其他稀有资源！美国都敢自残断供打压中国企业，为什么中国就不果断用同样方式反制呢？现在美正联合澳大利亚和加拿大等国联合开采和冶炼稀土，等别人准备好，我们的牌就没用了。
0	1. 中国的目的是防止贸易战升级，但实际没什么用。如果没有第一阶段贸易协定，中美之间的贸易战在目前情况下会不会升级？其实也不会。 2. 不执行第一阶段贸易协议对特朗普选情有破坏作用。 3. 中美对贸易的认识不同，看看FOX NEWS就知道了：中国认为贸易是两利，美国认为是中国抢了美国人工作。
0	要不是英国特种部队把运重水的邮轮炸了，德国会先美国制造出原子弹。阿登反击战，要不是德国的人员给养跟不上，英美会被赶回诺曼底，这还只是小部分的东线主力。
0	中美贸易战的开始只能说是损敌八百自毁一千，爱好和平共赢被认为软弱可欺，那我们只能应战，发布相应的应对措施，对美国出口到我国的产品也征重税，加强与其他友好国家的贸易，任何困难都不会打倒我们，祖国加油
